GeneName	RefSeq_Summary
LOC112323626	uncharacterized LOC112323626	uncharacterized LOC112323626
LOC112323627	uncharacterized LOC112323627	uncharacterized LOC112323627
LOC112323628	receptor-like protein 9DC3	receptor-like protein 9DC3
LOC112323629	receptor-like protein 9DC3	receptor-like protein 9DC3
LOC112323630	ribosome-binding factor PSRP1, chloroplastic-like	ribosome-binding factor PSRP1, chloroplastic-like
LOC112323631	uncharacterized LOC112323631	uncharacterized LOC112323631
LOC112323632	uncharacterized LOC112323632	uncharacterized LOC112323632
LOC112323633	uncharacterized LOC112323633	uncharacterized LOC112323633
LOC112323634	guanine nucleotide-binding protein subunit beta-like protein	guanine nucleotide-binding protein subunit beta-like protein
LOC112323635	uncharacterized LOC112323635	uncharacterized LOC112323635
LOC112323636	uncharacterized LOC112323636	uncharacterized LOC112323636
LOC112323637	putative disease resistance protein RGA3	putative disease resistance protein RGA3
LOC112323638	uncharacterized LOC112323638	uncharacterized LOC112323638
LOC112323639	uncharacterized LOC112323639	uncharacterized LOC112323639
LOC112323640	receptor-like protein Cf-9	receptor-like protein Cf-9
LOC112323641	receptor-like protein 9DC3	receptor-like protein 9DC3
LOC112323642	uncharacterized LOC112323642	uncharacterized LOC112323642
LOC112323643	rust resistance kinase Lr10-like	rust resistance kinase Lr10-like
LOC112323644	probable L-gulonolactone oxidase 6	probable L-gulonolactone oxidase 6
LOC112323645	protein ODORANT1-like	protein ODORANT1-like
LOC112323646	receptor-like protein Cf-9 homolog	receptor-like protein Cf-9 homolog
LOC112323648	YDG domain-containing protein At5g47150-like	YDG domain-containing protein At5g47150-like
LOC112323649	receptor-like protein 9DC3	receptor-like protein 9DC3
LOC112323650	uncharacterized LOC112323650	uncharacterized LOC112323650
LOC112323651	uncharacterized LOC112323651	uncharacterized LOC112323651
LOC112323653	geranylgeranyl diphosphate reductase, chloroplastic-like	geranylgeranyl diphosphate reductase, chloroplastic-like
LOC112323654	uncharacterized LOC112323654	uncharacterized LOC112323654
LOC112323655	uncharacterized LOC112323655	uncharacterized LOC112323655
LOC112323656	peroxisome biogenesis protein 3-2-like	peroxisome biogenesis protein 3-2-like
LOC112323659	uncharacterized LOC112323659	uncharacterized LOC112323659
LOC112323663	uncharacterized LOC112323663	uncharacterized LOC112323663
LOC112323665	uncharacterized LOC112323665	uncharacterized LOC112323665
LOC112323666	uncharacterized LOC112323666	uncharacterized LOC112323666
LOC112323667	uncharacterized LOC112323667	uncharacterized LOC112323667
LOC112323668	uncharacterized LOC112323668	uncharacterized LOC112323668
LOC112323669	uncharacterized LOC112323669	uncharacterized LOC112323669
LOC112323670	uncharacterized LOC112323670	uncharacterized LOC112323670
LOC112323671	uncharacterized LOC112323671	uncharacterized LOC112323671
LOC112323672	transcription factor bHLH162-like	transcription factor bHLH162-like
LOC112323673	arabinogalactan peptide 23-like	arabinogalactan peptide 23-like
LOC112323674	cyclin-dependent kinase D-3-like	cyclin-dependent kinase D-3-like
LOC112323675	uncharacterized LOC112323675	uncharacterized LOC112323675
LOC112323677	uncharacterized LOC112323677	uncharacterized LOC112323677
LOC112323678	uncharacterized LOC112323678	uncharacterized LOC112323678
LOC112323679	uncharacterized LOC112323679	uncharacterized LOC112323679
LOC112323680	uncharacterized LOC112323680	uncharacterized LOC112323680
LOC112323681	cytochrome P450 71D11-like	cytochrome P450 71D11-like
LOC112323682	uncharacterized LOC112323682	uncharacterized LOC112323682
LOC112323683	small nucleolar RNA R30/Z108	small nucleolar RNA R30/Z108
LOC112323688	small nucleolar RNA snoR60	small nucleolar RNA snoR60
LOC112323689	small nucleolar RNA snoR60	small nucleolar RNA snoR60
LOC112323690	small nucleolar RNA snoR31/Z110/Z27	small nucleolar RNA snoR31/Z110/Z27
LOC112323691	U2 spliceosomal RNA	U2 spliceosomal RNA
LOC112323692	small nucleolar RNA snoR31/Z110/Z27	small nucleolar RNA snoR31/Z110/Z27
LOC112323693	small nucleolar RNA Z107/R87	small nucleolar RNA Z107/R87
LOC112323694	small nucleolar RNA Z107/R87	small nucleolar RNA Z107/R87
LOC112323695	small nucleolar RNA Z107/R87	small nucleolar RNA Z107/R87
LOC112323696	small nucleolar RNA snoR100	small nucleolar RNA snoR100
LOC112323697	small nucleolar RNA snoR111	small nucleolar RNA snoR111
LOC112323698	small nucleolar RNA snoR31	small nucleolar RNA snoR31
LOC112323699	small nucleolar RNA snoR113	small nucleolar RNA snoR113
LOC112323700	small nucleolar RNA snoR114	small nucleolar RNA snoR114
LOC112323702	small nucleolar RNA snoR114	small nucleolar RNA snoR114
LOC112323703	small nucleolar RNA snoR114	small nucleolar RNA snoR114
LOC112323704	small nucleolar RNA snoR114	small nucleolar RNA snoR114
LOC112323705	small nucleolar RNA snoR114	small nucleolar RNA snoR114
LOC112323706	small nucleolar RNA U3	small nucleolar RNA U3
LOC112323707	small nucleolar RNA U3	small nucleolar RNA U3
LOC112323708	small nucleolar RNA U3	small nucleolar RNA U3
LOC112323709	small nucleolar RNA U3	small nucleolar RNA U3
LOC112323710	small nucleolar RNA U3	small nucleolar RNA U3
LOC112323744	uncharacterized LOC112323744	uncharacterized LOC112323744
LOC112323745	uncharacterized LOC112323745	uncharacterized LOC112323745
LOC112323746	uncharacterized LOC112323746	uncharacterized LOC112323746
LOC112323747	uncharacterized LOC112323747	uncharacterized LOC112323747
LOC112323748	uncharacterized LOC112323748	uncharacterized LOC112323748
LOC112323750	uncharacterized LOC112323750	uncharacterized LOC112323750
LOC112323751	uncharacterized LOC112323751	uncharacterized LOC112323751
LOC112323752	uncharacterized LOC112323752	uncharacterized LOC112323752
LOC112323753	uncharacterized LOC112323753	uncharacterized LOC112323753
LOC112323754	uncharacterized LOC112323754	uncharacterized LOC112323754
LOC112323755	zinc finger BED domain-containing protein RICESLEEPER 2-like	zinc finger BED domain-containing protein RICESLEEPER 2-like
LOC112323756	uroporphyrinogen decarboxylase, chloroplastic-like	uroporphyrinogen decarboxylase, chloroplastic-like
LOC112323757	uncharacterized LOC112323757	uncharacterized LOC112323757
LOC112323758	uncharacterized LOC112323758	uncharacterized LOC112323758
LOC112323759	uncharacterized LOC112323759	uncharacterized LOC112323759
LOC112323760	uncharacterized LOC112323760	uncharacterized LOC112323760
LOC112323761	uncharacterized LOC112323761	uncharacterized LOC112323761
LOC112323762	uncharacterized LOC112323762	uncharacterized LOC112323762
LOC112323763	uncharacterized LOC112323763	uncharacterized LOC112323763
LOC112323764	uncharacterized LOC112323764	uncharacterized LOC112323764
LOC112323765	uncharacterized LOC112323765	uncharacterized LOC112323765
LOC112323766	uncharacterized LOC112323766	uncharacterized LOC112323766
LOC112323767	uncharacterized LOC112323767	uncharacterized LOC112323767
LOC112323768	uncharacterized LOC112323768	uncharacterized LOC112323768
LOC112323769	uncharacterized LOC112323769	uncharacterized LOC112323769
LOC112323770	uncharacterized LOC112323770	uncharacterized LOC112323770
LOC112323771	uncharacterized LOC112323771	uncharacterized LOC112323771
LOC112323772	xanthohumol 4-O-methyltransferase-like	xanthohumol 4-O-methyltransferase-like
LOC112323773	xanthohumol 4-O-methyltransferase-like	xanthohumol 4-O-methyltransferase-like
LOC112323774	uncharacterized LOC112323774	uncharacterized LOC112323774
LOC112323775	uncharacterized mitochondrial protein AtMg00820-like	uncharacterized mitochondrial protein AtMg00820-like
LOC112323776	uncharacterized LOC112323776	uncharacterized LOC112323776
LOC112323777	protein NRT1/ PTR FAMILY 5.10-like	protein NRT1/ PTR FAMILY 5.10-like
LOC112323778	phosphoinositide phosphatase SAC1-like	phosphoinositide phosphatase SAC1-like
LOC112323780	ervatamin-B	ervatamin-B
LOC112323781	uncharacterized LOC112323781	uncharacterized LOC112323781
LOC112323782	uncharacterized LOC112323782	uncharacterized LOC112323782
LOC112323785	uncharacterized mitochondrial protein AtMg00370-like	uncharacterized mitochondrial protein AtMg00370-like
LOC112323788	uncharacterized LOC112323788	uncharacterized LOC112323788
LOC112323789	ribulose bisphosphate carboxylase large chain	ribulose bisphosphate carboxylase large chain
LOC112323790	uncharacterized LOC112323790	uncharacterized LOC112323790
LOC112323793	uncharacterized LOC112323793	uncharacterized LOC112323793
LOC112323794	uncharacterized LOC112323794	uncharacterized LOC112323794
LOC112323795	uncharacterized LOC112323795	uncharacterized LOC112323795
LOC112323796	uncharacterized LOC112323796	uncharacterized LOC112323796
LOC112323797	uncharacterized LOC112323797	uncharacterized LOC112323797
LOC112323798	uncharacterized LOC112323798	uncharacterized LOC112323798
LOC112323799	uncharacterized LOC112323799	uncharacterized LOC112323799
LOC112323800	uncharacterized LOC112323800	uncharacterized LOC112323800
LOC112323801	uncharacterized CRM domain-containing protein At3g25440, chloroplastic-like	uncharacterized CRM domain-containing protein At3g25440, chloroplastic-like
LOC112323802	uncharacterized LOC112323802	uncharacterized LOC112323802
LOC112323803	uncharacterized LOC112323803	uncharacterized LOC112323803
LOC112323804	uncharacterized LOC112323804	uncharacterized LOC112323804
LOC112323805	uncharacterized LOC112323805	uncharacterized LOC112323805
LOC112323806	uncharacterized LOC112323806	uncharacterized LOC112323806
LOC112323807	uncharacterized LOC112323807	uncharacterized LOC112323807
LOC112323808	putative leucine-rich repeat receptor-like protein kinase At2g19210	putative leucine-rich repeat receptor-like protein kinase At2g19210
LOC112323809	uncharacterized LOC112323809	uncharacterized LOC112323809
LOC112323810	uncharacterized LOC112323810	uncharacterized LOC112323810
LOC112323811	uncharacterized LOC112323811	uncharacterized LOC112323811
LOC112323812	membrin-11-like	membrin-11-like
LOC112323813	probable acyl-activating enzyme 6	probable acyl-activating enzyme 6
LOC112323814	uncharacterized LOC112323814	uncharacterized LOC112323814
LOC112323815	germin-like protein subfamily 1 member 16	germin-like protein subfamily 1 member 16
LOC112323816	probable disease resistance protein At1g61190	probable disease resistance protein At1g61190
LOC112323817	uncharacterized LOC112323817	uncharacterized LOC112323817
LOC112323818	trans-resveratrol di-O-methyltransferase-like	trans-resveratrol di-O-methyltransferase-like
LOC112323819	uncharacterized LOC112323819	uncharacterized LOC112323819
LOC112323820	5' exonuclease Apollo-like	5' exonuclease Apollo-like
LOC112323821	uncharacterized LOC112323821	uncharacterized LOC112323821
LOC112323822	uncharacterized LOC112323822	uncharacterized LOC112323822
LOC112323823	DNA-directed RNA polymerase subunit beta-like	DNA-directed RNA polymerase subunit beta-like
LOC112323824	50S ribosomal protein L2, chloroplastic-like	50S ribosomal protein L2, chloroplastic-like
LOC112323825	uncharacterized LOC112323825	uncharacterized LOC112323825
LOC112323826	protein CUP-SHAPED COTYLEDON 2-like	protein CUP-SHAPED COTYLEDON 2-like
LOC112323827	uncharacterized LOC112323827	uncharacterized LOC112323827
LOC112323828	uncharacterized LOC112323828	uncharacterized LOC112323828
LOC112323829	protein ECERIFERUM 26-like	protein ECERIFERUM 26-like
LOC112323830	uncharacterized LOC112323830	uncharacterized LOC112323830
LOC112323831	uncharacterized LOC112323831	uncharacterized LOC112323831
LOC112323832	uncharacterized LOC112323832	uncharacterized LOC112323832
LOC112323833	uncharacterized LOC112323833	uncharacterized LOC112323833
LOC112323834	uncharacterized LOC112323834	uncharacterized LOC112323834
LOC112323835	uncharacterized LOC112323835	uncharacterized LOC112323835
LOC112323838	uncharacterized LOC112323838	uncharacterized LOC112323838
LOC112323839	uncharacterized LOC112323839	uncharacterized LOC112323839
LOC112323840	germin-like protein subfamily 1 member 16	germin-like protein subfamily 1 member 16
LOC112323841	engulfment and cell motility protein 1-like	engulfment and cell motility protein 1-like
LOC112323842	germin-like protein subfamily 1 member 16	germin-like protein subfamily 1 member 16
LOC112323843	putative germin-like protein 2-1	putative germin-like protein 2-1
LOC112323844	germin-like protein subfamily 1 member 16	germin-like protein subfamily 1 member 16
LOC112323845	germin-like protein subfamily 1 member 16	germin-like protein subfamily 1 member 16
LOC112323846	germin-like protein subfamily 1 member 16	germin-like protein subfamily 1 member 16
LOC112323847	uncharacterized LOC112323847	uncharacterized LOC112323847
LOC112323849	uncharacterized LOC112323849	uncharacterized LOC112323849
LOC112323850	uncharacterized LOC112323850	uncharacterized LOC112323850
LOC112323851	uncharacterized LOC112323851	uncharacterized LOC112323851
LOC112323852	uncharacterized LOC112323852	uncharacterized LOC112323852
LOC112323853	uncharacterized LOC112323853	uncharacterized LOC112323853
LOC112323854	uncharacterized LOC112323854	uncharacterized LOC112323854
LOC112323856	uncharacterized LOC112323856	uncharacterized LOC112323856
LOC112323857	uncharacterized LOC112323857	uncharacterized LOC112323857
LOC112323858	zinc-finger homeodomain protein 3-like	zinc-finger homeodomain protein 3-like
LOC112323859	probable disease resistance protein At4g27220	probable disease resistance protein At4g27220
LOC112323861	uncharacterized LOC112323861	uncharacterized LOC112323861
LOC112323862	protein NRT1/ PTR FAMILY 5.10-like	protein NRT1/ PTR FAMILY 5.10-like
LOC112323863	uncharacterized LOC112323863	uncharacterized LOC112323863
LOC112323864	uncharacterized LOC112323864	uncharacterized LOC112323864
LOC112323865	uncharacterized LOC112323865	uncharacterized LOC112323865
LOC112323866	uncharacterized LOC112323866	uncharacterized LOC112323866
LOC112323867	ABC transporter F family member 4-like	ABC transporter F family member 4-like
LOC112323868	trans-resveratrol di-O-methyltransferase-like	trans-resveratrol di-O-methyltransferase-like
LOC112323869	50S ribosomal protein L2, chloroplastic-like	50S ribosomal protein L2, chloroplastic-like
LOC112323870	uncharacterized LOC112323870	uncharacterized LOC112323870
LOC112323872	perakine reductase-like	perakine reductase-like
LOC112323873	bark storage protein A-like	bark storage protein A-like
LOC112323874	uncharacterized LOC112323874	uncharacterized LOC112323874
LOC112323875	uncharacterized LOC112323875	uncharacterized LOC112323875
LOC112323876	neurofilament medium polypeptide-like	neurofilament medium polypeptide-like
LOC112323877	glycine-rich protein 23-like	glycine-rich protein 23-like
LOC112323878	acyltransferase-like protein At1g54570, chloroplastic	acyltransferase-like protein At1g54570, chloroplastic
LOC112323880	2-ketogluconate reductase-like	2-ketogluconate reductase-like
LOC112323881	uncharacterized LOC112323881	uncharacterized LOC112323881
LOC112323882	germin-like protein subfamily 1 member 16	germin-like protein subfamily 1 member 16
LOC112323883	uncharacterized LOC112323883	uncharacterized LOC112323883
LOC112323884	NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic	NAD(P)H-quinone oxidoreductase subunit 1, chloroplastic
